Key,Values
G1a,"[(0.1955254949323307+5.627382545213553e-17j), (-2.050394189498489e-05+4.749553799473652e-17j), (4.0393691753108176e-05-7.821779840573476e-18j), (-0.061412867586274116-5.34963457141323e-17j), (1.0115596083723282e-05+7.284351307768171e-17j), (0.01874283827220035+1.854102550349246e-16j), (-2.477195665256331e-05-1.5876796642345978e-16j), (0.03425518712184366+6.323856000506649e-17j), (-1.247527035569087e-06+1.0363773675562738e-16j), (4.276706865590706e-06+3.213920165935557e-17j), (-0.010226615505113298-2.914874107257193e-17j), (1.060567401412152e-05-3.257850229326249e-17j), (-0.02208618792502012-9.867498239666066e-17j), (-1.7269085937802e-06-7.327698757730957e-17j), (0.005415007615266712-1.2755740780612176e-16j), (1.2974125125492934e-05+9.86576059889196e-17j), (0.006495939862653065+1.2153829733662814e-18j), (-4.716014268144382e-06-2.1573873786682458e-17j), (0.014825364211056674+1.3113033071483046e-17j), (-2.037230064061383e-06-5.5246562965125425e-17j), (-3.1397173331365656e-05+1.219613047233069e-18j), (-0.0033931245141766344+1.839942475386713e-17j), (-1.9993185353638135e-05-7.334016719812754e-17j), (-0.004438639849507842+1.866341373278176e-17j), (8.091502982513391e-06+2.7141538982035265e-17j), (-0.009753947785594146-1.3119842547415735e-16j), (1.676967402100344e-05-2.0623531869292523e-16j), (0.00221506209030816+1.0235014848731034e-16j), (3.818716429620588e-05-7.886673873612858e-17j), (0.002485701771396034-3.76374387819832e-17j), (1.6440620285216005e-05-8.941176369558782e-17j), (0.003281994341675353-6.492674727250993e-17j), (-2.3926534433120392e-05+7.606304349857678e-17j), (0.005880476427013327+1.724474640365028e-17j), (-3.8213396335467614e-05+3.0773817590962443e-17j)]"
G1b,(-0.7821019797293229-5.910121855424224e-19j)
G1c,"[(0.5000006798474029+3.493948396897052e-17j), (-0.26822525469211334-9.86623976961809e-18j), (-0.09144259803198276-5.669628539722341e-17j), (-5.233389289282238e-06+7.52714835960799e-18j), (0.054315360928860884+5.2258544713801314e-17j), (4.873514686605751e-06+1.8593859407279508e-16j), (0.01864145769734349-1.5650458359828257e-16j), (5.298213590371082e-06+6.96263924008439e-17j), (-0.024337998393646802+7.87672878310719e-17j), (-0.0037046148772402507+4.419892593991254e-17j), (-3.0845493525064996e-06-7.074567093456017e-17j), (-0.00843832355436303+3.3440860757599777e-18j), (-2.9152241162128766e-06-2.6237675823741803e-18j), (0.014521647427927513-1.2085400116757735e-16j), (1.1722162149174283e-06-1.3294119922596187e-16j), (0.0017087925413699703+1.2660770869199478e-16j), (1.1294004822254082e-06-1.2067716449840194e-17j), (0.0052035237008182305-7.182839392716467e-18j), (3.886499437932568e-07-1.0185771062721808e-16j), (-0.010142832850925374-5.3939058081153846e-17j), (-0.0008438206772218386+1.0964788915062119e-16j), (2.290692634311252e-07-6.38244251616663e-17j), (-0.001149877270364706-4.654064880336116e-17j), (1.7707635427682747e-07-3.393966638340089e-17j), (-0.003914770917629932-8.497107250123539e-17j), (1.1025874937260092e-06-2.0827672419161647e-16j), (0.007746942717161776-2.2761088193791294e-16j), (-1.097478786533474e-06+1.5181123100850569e-16j), (0.0006380526869546183-1.1096809235389138e-16j), (-8.566793029466687e-07-3.8946838785368134e-17j), (0.001026625310330994-2.198355429985921e-16j), (-6.765969177204013e-07-1.4815943796040504e-16j), (0.003546357966210611-6.287017347700319e-17j), (-1.530120547689202e-06-4.643545955358524e-17j), (-0.004751989739657148+9.004299042492114e-17j)]"
G1d,"[(0.1955254949323307+5.627382545213553e-17j), (-2.050394189498489e-05+4.749553799473652e-17j), (4.0393691753108176e-05-7.821779840573476e-18j), (-0.061412867586274116-5.34963457141323e-17j), (1.0115596083723282e-05+7.284351307768171e-17j), (0.01874283827220035+1.854102550349246e-16j), (-2.477195665256331e-05-1.5876796642345978e-16j), (0.03425518712184366+6.323856000506649e-17j), (-1.247527035569087e-06+1.0363773675562738e-16j), (4.276706865590706e-06+3.213920165935557e-17j), (-0.010226615505113298-2.914874107257193e-17j), (1.060567401412152e-05-3.257850229326249e-17j), (-0.02208618792502012-9.867498239666066e-17j), (-1.7269085937802e-06-7.327698757730957e-17j), (0.005415007615266712-1.2755740780612176e-16j), (1.2974125125492934e-05+9.86576059889196e-17j), (0.006495939862653065+1.2153829733662814e-18j), (-4.716014268144382e-06-2.1573873786682458e-17j), (0.014825364211056674+1.3113033071483046e-17j), (-2.037230064061383e-06-5.5246562965125425e-17j), (-3.1397173331365656e-05+1.219613047233069e-18j), (-0.0033931245141766344+1.839942475386713e-17j), (-1.9993185353638135e-05-7.334016719812754e-17j), (-0.004438639849507842+1.866341373278176e-17j), (8.091502982513391e-06+2.7141538982035265e-17j), (-0.009753947785594146-1.3119842547415735e-16j), (1.676967402100344e-05-2.0623531869292523e-16j), (0.00221506209030816+1.0235014848731034e-16j), (3.818716429620588e-05-7.886673873612858e-17j), (0.002485701771396034-3.76374387819832e-17j), (1.6440620285216005e-05-8.941176369558782e-17j), (0.003281994341675353-6.492674727250993e-17j), (-2.3926534433120392e-05+7.606304349857678e-17j), (0.005880476427013327+1.724474640365028e-17j), (-3.8213396335467614e-05+3.0773817590962443e-17j)]"
G1f,"[(0.5000006798474029+3.493948396897052e-17j), (-0.26822525469211334-9.86623976961809e-18j), (-0.09144259803198276-5.669628539722341e-17j), (-5.233389289282238e-06+7.52714835960799e-18j), (0.054315360928860884+5.2258544713801314e-17j), (4.873514686605751e-06+1.8593859407279508e-16j), (0.01864145769734349-1.5650458359828257e-16j), (5.298213590371082e-06+6.96263924008439e-17j), (-0.024337998393646802+7.87672878310719e-17j), (-0.0037046148772402507+4.419892593991254e-17j), (-3.0845493525064996e-06-7.074567093456017e-17j), (-0.00843832355436303+3.3440860757599777e-18j), (-2.9152241162128766e-06-2.6237675823741803e-18j), (0.014521647427927513-1.2085400116757735e-16j), (1.1722162149174283e-06-1.3294119922596187e-16j), (0.0017087925413699703+1.2660770869199478e-16j), (1.1294004822254082e-06-1.2067716449840194e-17j), (0.0052035237008182305-7.182839392716467e-18j), (3.886499437932568e-07-1.0185771062721808e-16j), (-0.010142832850925374-5.3939058081153846e-17j), (-0.0008438206772218386+1.0964788915062119e-16j), (2.290692634311252e-07-6.38244251616663e-17j), (-0.001149877270364706-4.654064880336116e-17j), (1.7707635427682747e-07-3.393966638340089e-17j), (-0.003914770917629932-8.497107250123539e-17j), (1.1025874937260092e-06-2.0827672419161647e-16j), (0.007746942717161776-2.2761088193791294e-16j), (-1.097478786533474e-06+1.5181123100850569e-16j), (0.0006380526869546183-1.1096809235389138e-16j), (-8.566793029466687e-07-3.8946838785368134e-17j), (0.001026625310330994-2.198355429985921e-16j), (-6.765969177204013e-07-1.4815943796040504e-16j), (0.003546357966210611-6.287017347700319e-17j), (-1.530120547689202e-06-4.643545955358524e-17j), (-0.004751989739657148+9.004299042492114e-17j)]"
G1a_,"[(0.20130584668384294-5.776052353496487e-17j), (0.003921323629545776-3.3285006695304986e-17j), (0.00028011593553088084+7.122645636452207e-17j), (-0.06527883381974287+8.595520942147189e-17j), (-0.00237454091709677-4.364591370611959e-17j), (0.02096503065553599+2.0349364283738988e-16j), (-0.0004093028495143617+1.248187751073937e-16j), (0.03697485048866842-8.97989390569935e-17j), (0.00158611357392027-4.526544070126981e-17j), (0.0002710998745877772-1.5443375514065545e-17j), (-0.011703851166692094-1.9495627951360197e-17j), (0.00034605561533034045-1.755391079889812e-17j), (-0.024050104696970342-1.3367238698856927e-17j), (-0.0011797639861960982-8.509370894869975e-18j), (0.00641100851981367-1.64667612289915e-16j), (-0.00018949097468015332-1.0332446703786857e-16j), (0.007555578977348144-4.0945228563138056e-17j), (-0.0002942908027243421-2.2815281176857423e-17j), (0.016235153096454315-1.2088469787468738e-16j), (0.0009478547245691744+4.9195673576529764e-17j), (0.0001270570397679405-2.590303505917865e-16j), (-0.004152620309693702-2.819619156687876e-17j), (0.0001484383171340505+5.627260862475022e-17j), (-0.005228723842678423-1.650676631785499e-17j), (0.00026704956537101985-8.351870400701266e-17j), (-0.010725186526028543+1.6980257735370145e-17j), (-0.0007910362688792623+1.8428980536706538e-16j), (0.0028557745285075434-6.446931259958306e-17j), (-0.00010201923294838618+1.059472793329523e-16j), (0.00311382215789092-2.975097348112323e-17j), (-0.00013409818521937112-2.120970499924768e-17j), (0.003888026998755702-2.7997619929165334e-17j), (-0.0002759720093165251-4.092863201132779e-17j), (0.006491429032280065-5.447088889291114e-17j), (0.0006015998531525703+1.3530843112619095e-16j)]"
G1b_,(-0.7821019797293227-5.910121855424224e-19j)
G1c_,"[(-0.4999993201525971-2.2712047325743632e-17j), (-0.2682252546921132+2.439454888092385e-17j), (-0.09144259803198262-9.901867137066502e-17j), (-5.2333892892578505e-06-1.0068174368117955e-16j), (0.05431536092886087-5.2319531086003623e-17j), (4.873514686934063e-06-2.3551418614749797e-16j), (0.018641457697343735-1.3495606542013316e-16j), (5.298213590374241e-06-6.45979254747774e-18j), (-0.024337998393646768+3.74049749507499e-18j), (-0.0037046148772399857+1.247190512921442e-16j), (-3.0845493522015737e-06+9.77944119538179e-17j), (-0.008438323554363057+8.571634613034618e-17j), (-2.9152241163662798e-06+6.983379904724999e-17j), (0.01452164742792719+2.9376107672955683e-17j), (1.1722162149371159e-06+2.8449043866181855e-16j), (0.001708792541370179+1.7856809780836258e-16j), (1.129400482145377e-06+5.050152996108712e-17j), (0.005203523700818281+1.7970651008947236e-17j), (3.886499437649295e-07+1.211762927846931e-16j), (-0.010142832850925274-9.955686448848144e-17j), (-0.0008438206772212026+6.494280892894772e-16j), (2.2906926361259842e-07+3.4991152239170944e-16j), (-0.001149877270364662+3.518998379367991e-18j), (1.7707635422128392e-07-1.7271828975127737e-18j), (-0.003914770917630047+3.656434762692977e-17j), (1.1025874938283452e-06+6.208739343819017e-17j), (0.007746942717161668-1.763158372016134e-16j), (-1.0974787865991416e-06+2.4184968617228984e-16j), (0.0006380526869543322+4.4858864886587746e-18j), (-8.56679303130603e-07+2.7700872507359557e-17j), (0.0010266253103310367+3.5927749490738403e-17j), (-6.76596917930827e-07+4.329017941065393e-17j), (0.003546357966210313-1.382899871005261e-16j), (-1.530120547805431e-06-1.2903426204407318e-16j), (-0.004751989739657272-1.5612511283791264e-16j)]"
G1g,(-0.5000001134789883+1.572516666577609e-18j)
G1h,(-0.5000000478236224+3.469446951953614e-18j)
