Key,Values
G1a,"[(0.1908116343561415-2.1429777714802382e-17j), (1.091596578195925e-06+3.589352445318103e-17j), (-3.6724439356402775e-07-2.113036734303927e-18j), (-0.05347086710749835-2.1408584218294813e-17j), (-9.053003595810838e-07+6.977400536133196e-17j), (0.00796655097226735+1.659337146881311e-16j), (-1.751893466571301e-08-7.540769947715549e-17j), (0.025650245016661345+4.6842517496454986e-18j), (6.783267593968556e-07+3.946030634295532e-17j), (1.6528185678754658e-07+4.4595005024531293e-17j), (-0.0006694153604815615-6.6681784849260354e-18j), (1.4682857026962334e-07-1.7654203449332367e-17j), (-0.014053349096285186-5.274326009140024e-17j), (-5.032877064827196e-07-7.721554101612446e-17j), (-0.0015344067671358155-1.3511618769983384e-16j), (-1.336788414508313e-07+6.809698952895027e-17j), (-0.001046637575998826-1.3745814562451017e-17j), (-1.685775201750789e-07-1.407162832712032e-17j), (0.008026555404543907-4.04431917538285e-17j), (3.826602931091524e-07-3.2687250433684655e-17j), (6.01146067372767e-08+8.29569956236705e-18j), (0.001253562457011579+1.3728075190145558e-17j), (7.519691592584758e-08-7.045121635405813e-17j), (0.0012667812970146859+1.7319329070826912e-17j), (1.521413890400124e-07-1.3459527870714246e-17j), (-0.0044785106925233865-8.531299111117725e-17j), (-2.888004246111031e-07-1.421801965268935e-16j), (-0.0006353399327760096+9.458409314884604e-17j), (-1.1772682625021794e-08-6.943494481854075e-17j), (-0.0008420635552816762-4.8165615390235946e-17j), (-3.0724852630332364e-08-5.616945946538329e-17j), (-0.0011942303022816755-7.045355595609644e-17j), (-1.4773741491845785e-07+3.718706103493425e-20j), (0.002117139897261655-3.9497576696089483e-17j), (1.0855044754294254e-07+6.034132905278851e-17j)]"
G1b,(-0.7632465374245662-1.6357199329615763e-19j)
G1c,"[(0.49999818401219104+3.955402602464369e-17j), (-0.27468153449728644+5.7462715141731735e-18j), (-0.0918364511134121-5.619938747981697e-17j), (1.9846710959011224e-07+7.302264420834423e-18j), (0.055641244181674+3.9410748969848086e-17j), (2.370004062080333e-07+1.6957474819770543e-16j), (0.02052348647905127-1.4669255393728875e-16j), (9.766396463049794e-08+6.964879286542214e-17j), (-0.023193791840752088+6.993104012531504e-17j), (-0.005093313484168223+4.4378965774165987e-17j), (-1.6091265090223642e-07-6.37960764413032e-17j), (-0.009880842983895502-1.7753810574450135e-18j), (-1.5329010260568628e-07+3.3284788319623272e-18j), (0.01205358738348317-1.2033122793325866e-16j), (4.1961219462922486e-08-1.2818172913846107e-16j), (0.001996897246604475+1.294266343404571e-16j), (8.023087546845191e-08-5.999448338618504e-18j), (0.005806649970725438-9.622294280808852e-18j), (1.370635447942786e-07-1.0324636496943211e-16j), (-0.007096089424041315-5.919743861770854e-17j), (-0.00033737821411150646+1.1191017583263494e-16j), (1.0140001539289447e-08-6.592794918170141e-17j), (-0.0006316426227458219-4.872811138964539e-17j), (-2.8035931950132052e-08-3.823026297406141e-17j), (-0.003620595706753417-8.78844294215262e-17j), (-9.826384258102325e-08-1.9796084930693956e-16j), (0.004722741590523622-2.2445695475881156e-16j), (-2.9850302308877264e-08+1.5232391230964475e-16j), (-0.000224644634761087-1.1066993675645787e-16j), (-2.9565609337206224e-08-4.1456538678259135e-17j), (-7.736495236057927e-05-2.122325752640375e-16j), (-2.368692772088988e-09-1.4460256077450823e-16j), (0.0023416551805227294-5.1201447595627947e-17j), (6.045999598698127e-08-4.5300149199772535e-17j), (-0.001385477750159281+7.456600441269057e-17j)]"
G1d,"[(0.1908116343561415-2.1429777714802382e-17j), (1.091596578195925e-06+3.589352445318103e-17j), (-3.6724439356402775e-07-2.113036734303927e-18j), (-0.05347086710749835-2.1408584218294813e-17j), (-9.053003595810838e-07+6.977400536133196e-17j), (0.00796655097226735+1.659337146881311e-16j), (-1.751893466571301e-08-7.540769947715549e-17j), (0.025650245016661345+4.6842517496454986e-18j), (6.783267593968556e-07+3.946030634295532e-17j), (1.6528185678754658e-07+4.4595005024531293e-17j), (-0.0006694153604815615-6.6681784849260354e-18j), (1.4682857026962334e-07-1.7654203449332367e-17j), (-0.014053349096285186-5.274326009140024e-17j), (-5.032877064827196e-07-7.721554101612446e-17j), (-0.0015344067671358155-1.3511618769983384e-16j), (-1.336788414508313e-07+6.809698952895027e-17j), (-0.001046637575998826-1.3745814562451017e-17j), (-1.685775201750789e-07-1.407162832712032e-17j), (0.008026555404543907-4.04431917538285e-17j), (3.826602931091524e-07-3.2687250433684655e-17j), (6.01146067372767e-08+8.29569956236705e-18j), (0.001253562457011579+1.3728075190145558e-17j), (7.519691592584758e-08-7.045121635405813e-17j), (0.0012667812970146859+1.7319329070826912e-17j), (1.521413890400124e-07-1.3459527870714246e-17j), (-0.0044785106925233865-8.531299111117725e-17j), (-2.888004246111031e-07-1.421801965268935e-16j), (-0.0006353399327760096+9.458409314884604e-17j), (-1.1772682625021794e-08-6.943494481854075e-17j), (-0.0008420635552816762-4.8165615390235946e-17j), (-3.0724852630332364e-08-5.616945946538329e-17j), (-0.0011942303022816755-7.045355595609644e-17j), (-1.4773741491845785e-07+3.718706103493425e-20j), (0.002117139897261655-3.9497576696089483e-17j), (1.0855044754294254e-07+6.034132905278851e-17j)]"
G1f,"[(0.49999818401219104+3.955402602464369e-17j), (-0.27468153449728644+5.7462715141731735e-18j), (-0.0918364511134121-5.619938747981697e-17j), (1.9846710959011224e-07+7.302264420834423e-18j), (0.055641244181674+3.9410748969848086e-17j), (2.370004062080333e-07+1.6957474819770543e-16j), (0.02052348647905127-1.4669255393728875e-16j), (9.766396463049794e-08+6.964879286542214e-17j), (-0.023193791840752088+6.993104012531504e-17j), (-0.005093313484168223+4.4378965774165987e-17j), (-1.6091265090223642e-07-6.37960764413032e-17j), (-0.009880842983895502-1.7753810574450135e-18j), (-1.5329010260568628e-07+3.3284788319623272e-18j), (0.01205358738348317-1.2033122793325866e-16j), (4.1961219462922486e-08-1.2818172913846107e-16j), (0.001996897246604475+1.294266343404571e-16j), (8.023087546845191e-08-5.999448338618504e-18j), (0.005806649970725438-9.622294280808852e-18j), (1.370635447942786e-07-1.0324636496943211e-16j), (-0.007096089424041315-5.919743861770854e-17j), (-0.00033737821411150646+1.1191017583263494e-16j), (1.0140001539289447e-08-6.592794918170141e-17j), (-0.0006316426227458219-4.872811138964539e-17j), (-2.8035931950132052e-08-3.823026297406141e-17j), (-0.003620595706753417-8.78844294215262e-17j), (-9.826384258102325e-08-1.9796084930693956e-16j), (0.004722741590523622-2.2445695475881156e-16j), (-2.9850302308877264e-08+1.5232391230964475e-16j), (-0.000224644634761087-1.1066993675645787e-16j), (-2.9565609337206224e-08-4.1456538678259135e-17j), (-7.736495236057927e-05-2.122325752640375e-16j), (-2.368692772088988e-09-1.4460256077450823e-16j), (0.0023416551805227294-5.1201447595627947e-17j), (6.045999598698127e-08-4.5300149199772535e-17j), (-0.001385477750159281+7.456600441269057e-17j)]"
G1a_,"[(0.19786143530300782+5.974116878551712e-17j), (0.003668086515163123-1.7384746092344657e-17j), (-0.0005744626080990573+1.0063601169667061e-16j), (-0.058687043228353684+2.7450878404580477e-17j), (-0.002853838698116483-1.111307226797642e-17j), (0.010772950459120521+1.689531490722474e-16j), (1.9369739176094157e-05+7.228917985047101e-17j), (0.029438896838574667-2.6715060278916935e-17j), (0.0021488737335077666-4.123718448476106e-17j), (0.00033177970893217526+1.2730059769416128e-17j), (-0.0020285207644584148-3.5075846712954476e-17j), (0.0002882828695596517-3.412888399140297e-17j), (-0.01676692019971834-7.255202478762391e-17j), (-0.0016807989772904845-1.2013881771312493e-17j), (-0.00129063431717291-1.8297475788070292e-16j), (-0.00038728105581260715-8.026847011707977e-17j), (-0.0004742569482799078-3.322598884466997e-17j), (-0.00041571028299840847-2.4188354275220126e-17j), (0.009899148941761327-5.804190109153962e-17j), (0.001354722626537071+2.6790201918080554e-17j), (0.0002590178737887896-2.964738711005458e-16j), (0.0014089575214828176-4.440740296885415e-17j), (0.0002867341024827136+4.954845407200704e-17j), (0.0011194062606166909-7.030706283153457e-18j), (0.0004501046614127395-5.4480058507869605e-17j), (-0.005673241096227149-4.939682064574887e-17j), (-0.0010329531189785255+1.1133401058710524e-16j), (-0.0009306932499187398-7.871696478815883e-17j), (-0.00011435800440283273+9.746727361041858e-17j), (-0.0011355179487250679-2.994276221792507e-17j), (-0.00018426723877802413-4.25241907987928e-17j), (-0.001274284477942054-2.7936173093537573e-17j), (-0.000548633086751737+2.7267684638010437e-17j), (0.002794993722634676+1.8583247054061813e-17j), (0.00046361078496761786+1.1000270166628576e-16j)]"
G1b_,(-0.7632465374245659-1.6357199329615763e-19j)
G1c_,"[(-0.5000018159878089-2.2088518250042515e-17j), (-0.2746815344972864-1.962405932198763e-17j), (-0.09183645111341193-1.0222341952860539e-16j), (1.9846710960289476e-07-9.263984785741502e-17j), (0.05564124418167399-7.182839392716467e-17j), (2.3700040654225287e-07-2.2140355012617814e-16j), (0.020523486479051518-1.4455125464662988e-16j), (9.766396460282448e-08+1.4115049677274267e-17j), (-0.023193791840752074-1.0842021724855044e-19j), (-0.005093313484167962+1.1906245418720671e-16j), (-1.6091265060388304e-07+9.984021686167271e-17j), (-0.009880842983895542+9.980758624086872e-17j), (-1.5329010275816592e-07+7.876569633557335e-17j), (0.01205358738348284+2.1757866395609114e-17j), (4.1961219488426714e-08+2.7789423207737935e-16j), (0.001996897246604683+1.846396299742814e-16j), (8.023087538265629e-08+4.2138860113219426e-17j), (0.005806649970725468+2.5722696542218593e-17j), (1.3706354475556276e-07+1.1797859642182552e-16j), (-0.007096089424041227-9.142534819484016e-17j), (-0.00033737821411087827+6.491604362638728e-16j), (1.0140001725777792e-08+3.444438568883727e-16j), (-0.0006316426227457842+0j), (-2.8035931996286123e-08+3.5428476507891197e-19j), (-0.003620595706753536+4.3602341585991205e-17j), (-9.826384246911797e-08+5.531617814343418e-17j), (0.004722741590523532-2.016751566094599e-16j), (-2.985030238766606e-08+2.393319227856648e-16j), (-0.00022464463476137763+4.580754178751256e-18j), (-2.956560950142624e-08+2.4671025728863574e-17j), (-7.736495236054374e-05+2.2381998598247632e-17j), (-2.3686929834237184e-09+4.36800037959333e-17j), (0.0023416551805224327-1.4566256187342752e-16j), (6.04599958808053e-08-1.1849621016917728e-16j), (-0.0013854777501593972-1.3744973041684982e-16j)]"
G1g,(-0.4999999981356907+7.98529723112151e-18j)
G1h,(-0.49999999817473695+7.37257477290143e-18j)
G1i_,"[(8.105693006466019e-05-1.43947990999154e-17j), (-1.8338813879471318e-16-7.237665752986382e-17j), (-1.1633865181639807e-16+4.044634753190655e-17j), (-5.256128865482879e-12-6.31499113307393e-17j), (-1.1532777093340926e-17+5.955432496445007e-17j), (-1.752160916357326e-12+8.247696080444277e-17j), (-1.566285680459369e-17-5.688672499988157e-17j), (4.163336342344337e-17-2.5039825422847198e-17j), (1.3681212636580415e-16+4.155434864476442e-17j), (-2.368466644969778e-16+4.892568182459244e-18j), (-3.3393426912553537e-17-2.927932029180941e-17j), (-9.471368891475897e-17-3.544673740384287e-17j), (-1.3183898417423734e-16-5.842550696093618e-17j), (-1.6094896547252588e-16-5.63152479514976e-17j), (-1.0126448291014611e-16-9.73552563688752e-17j), (6.325692342676358e-17+9.563192793350777e-18j), (1.2397851842371743e-16-3.5059441098670765e-18j), (7.639654849082552e-17-3.1086599036682326e-17j), (2.2551405187698492e-17-3.975596496258236e-17j), (-8.443118539112459e-17-2.4828788492121716e-17j), (-1.2782079222136095e-16-7.147599248795196e-17j), (-2.883977778811442e-17-7.872977087077895e-17j), (4.4646418435504527e-17-2.99174749798155e-17j), (5.681219383824043e-17+5.916482408172044e-17j), (-7.586260009670009e-17-4.9430038427337674e-17j), (3.469446951953614e-17-7.939043208540514e-17j), (-1.302206218493896e-16-4.786675259999842e-17j), (2.684484579074109e-16+1.0732011873551247e-16j), (-7.069044486719792e-17+1.1376924865705341e-17j), (-7.43762690325056e-17-3.541807798704205e-17j), (-1.6695681134872302e-18-5.62329368561194e-17j), (-2.1033522146218786e-17-1.3502092386234899e-17j), (3.730073695867842e-17+8.461927294335604e-17j), (4.7704895589362195e-18+2.782547237316183e-17j), (-7.368498426842769e-18+9.093489661843942e-18j)]"
G2a,"[(0.4999974520231683+2.826653742767882e-17j), (-0.2634943036095706+8.965512804275763e-18j), (-0.09063397465820931-5.17778173612879e-17j), (-2.358021365530357e-07+1.5419934067832428e-17j), (0.05163662681192529+3.776314831743325e-17j), (3.891181817664566e-07+2.148917839412275e-16j), (0.019546044918759154-1.3877508135385692e-16j), (3.782595475195075e-07+7.000328985487779e-17j), (-0.021268651469080673+6.742018259652488e-17j), (-0.004577660460235041+3.7653163244402606e-17j), (-1.783352503297093e-07-8.269289612823567e-17j), (-0.009197232425278043-2.025498888009125e-18j), (-3.159109875187855e-07-2.3879738663041876e-18j), (0.010999578617407583-1.3140429181667181e-16j), (1.8881763265285806e-08-1.7470278090947034e-16j), (0.0017580519344583352+1.253919760643628e-16j), (6.601407442430333e-08-2.280572969084728e-17j), (0.0053452773283136495-6.263299777850171e-18j), (2.2967561064706958e-07-1.2270701980274232e-16j), (-0.006462186448493701-4.651396327319237e-17j), (-0.00028168158535614505+9.038611898307874e-17j), (2.7221653108540617e-08-5.4130028309632345e-17j), (-0.0005426051514184553-5.864777236683303e-17j), (-1.0578604351360938e-08-4.70050729608438e-17j), (-0.003316502899745434-9.132226616049533e-17j), (-1.489171138875111e-07-2.3012322723643565e-16j), (0.004303700812179273-1.9488065482306277e-16j), (-3.635763583849795e-08+1.5783105703573884e-16j), (-0.00021181197631895077-9.805277651022797e-17j), (-3.907922482269227e-08-6.247167765056828e-17j), (-8.750911710885245e-05-2.035370078492871e-16j), (-1.7842891641972562e-08-1.6036091548280276e-16j), (0.002133157863912005-4.5934615689651357e-17j), (8.33908457828071e-08-4.880489353798167e-17j), (-0.0012572727227923995+1.1883892160649521e-16j)]"
G2b,(-0.8707317454448138+3.195275243123574e-18j)
