Key,Values
C5_b,0.25
C5_v,"[(-0.02654562977930282+2.114133539085991e-14j), (0.0014810455872488562+7.820875719646478e-15j), (0.0006116165820973204+5.394435080650442e-16j), (-0.003417106441297465+4.509107215774848e-15j), (0.0005026763260616938+3.071041059231305e-15j), (-0.0002891570909500647+9.582713298437963e-16j), (0.0002289182706302015+1.041520094084165e-16j), (-0.0009603373077726877+1.6308935502973533e-15j), (0.00023415356032269833+1.5705272469114413e-15j), (8.408506964440132e-05-5.537736978878617e-17j), (-6.951961972202186e-05+3.5662731351537337e-16j), (0.0001036036939067719+1.6646923099167427e-17j), (-0.00034962557985178546+7.123219230864228e-16j), (0.0001203355104390735+9.403388285273423e-16j), (-1.669128893864309e-05+1.6181136531012054e-16j), (3.601449157658006e-05-5.0737302458424804e-17j), (-2.1404866657333064e-05+1.415594152645862e-16j), (5.094309290916844e-05+2.1143528272843882e-17j), (-0.00013286202450573525+3.1534492617114917e-16j), (6.557203225974154e-05+5.762806785265774e-16j), (1.526191355485273e-05-1.422787312115782e-17j), (-6.285651391796878e-06+4.2386047859577475e-17j), (1.7202212963708845e-05-2.834746182820887e-17j), (-6.36147422820527e-06+5.3537263332788517e-17j), (2.658239700259076e-05+4.5111615744126434e-17j), (-4.0521866204062105e-05+1.375157882592759e-16j), (3.7974255729670024e-05+3.537118752703344e-16j), (-3.959802000576417e-06+5.782949382607636e-18j), (8.042550030079644e-06-3.4867203901498516e-17j), (-3.1636027162227178e-06+3.104196458689214e-17j), (9.50318490320912e-06+4.615904954869492e-18j), (-1.933403841774105e-07+3.8400779545966114e-17j), (1.567575679939585e-05+5.832022709337767e-17j), (3.856551990187878e-06+2.173451126900984e-17j), (3.017700593763206e-05+1.3365308491313584e-16j)]"
C5,"[(0.22345437022069717+2.114133539085991e-14j), (0.2514810455872489+7.820875719646478e-15j), (0.2506116165820973+5.394435080650442e-16j), (0.24658289355870253+4.509107215774848e-15j), (0.2505026763260617+3.071041059231305e-15j), (0.24971084290904993+9.582713298437963e-16j), (0.2502289182706302+1.041520094084165e-16j), (0.24903966269222733+1.6308935502973533e-15j), (0.2502341535603227+1.5705272469114413e-15j), (0.2500840850696444-5.537736978878617e-17j), (0.249930480380278+3.5662731351537337e-16j), (0.2501036036939068+1.6646923099167427e-17j), (0.2496503744201482+7.123219230864228e-16j), (0.25012033551043905+9.403388285273423e-16j), (0.24998330871106136+1.6181136531012054e-16j), (0.2500360144915766-5.0737302458424804e-17j), (0.24997859513334267+1.415594152645862e-16j), (0.25005094309290915+2.1143528272843882e-17j), (0.24986713797549426+3.1534492617114917e-16j), (0.25006557203225976+5.762806785265774e-16j), (0.25001526191355483-1.422787312115782e-17j), (0.2499937143486082+4.2386047859577475e-17j), (0.2500172022129637-2.834746182820887e-17j), (0.2499936385257718+5.3537263332788517e-17j), (0.2500265823970026+4.5111615744126434e-17j), (0.24995947813379593+1.375157882592759e-16j), (0.25003797425572966+3.537118752703344e-16j), (0.24999604019799943+5.782949382607636e-18j), (0.25000804255003006-3.4867203901498516e-17j), (0.2499968363972838+3.104196458689214e-17j), (0.2500095031849032+4.615904954869492e-18j), (0.24999980665961583+3.8400779545966114e-17j), (0.2500156757567994+5.832022709337767e-17j), (0.2500038565519902+2.173451126900984e-17j), (0.25003017700593766+1.3365308491313584e-16j)]"
C6_b,0.25
C6_v,"[(0.008061381754727873-4.634321751898977e-15j), (-0.0033322640783948064-4.75098788935872e-16j), (-0.0011810498855316688+7.93056444932391e-16j), (0.0016183166288299391-1.2607922563358369e-15j), (-0.0009514314494259522-3.944770478471824e-16j), (0.00025796775393763455-3.5754706554668026e-16j), (-0.0003666142001531821+3.797680878587261e-16j), (0.0005519307998615745-5.070366631985449e-16j), (-0.00038533701277006726-3.1950361737160944e-16j), (-0.00010971249995258105+2.0281629739545208e-16j), (7.686335647431877e-05-1.4315147768294594e-16j), (-0.00014733082003881462+1.8403203440940881e-16j), (0.00022229871315097095-2.2188457892197358e-16j), (-0.00018356632638913439-2.5681012743517013e-16j), (2.225668989195061e-05-5.812026565713294e-17j), (-4.2551543205297346e-05+1.0493896233965417e-16j), (2.8227213824913843e-05-5.702386928846983e-17j), (-6.751002792652249e-05+8.405751381115803e-17j), (9.04744847124183e-05-8.650722691256763e-17j), (-9.523127535888261e-05-1.9981177700263214e-16j), (-1.644478416498899e-05+5.4197551579726314e-17j), (8.931093967439442e-06-2.2076712229894698e-17j), (-1.8981590412603207e-05+5.3952731171224345e-17j), (1.0739640907366658e-05-1.9785607412619907e-17j), (-3.349242665954959e-05+3.138361869164638e-17j), (2.9892249265048748e-05-1.947150548363043e-17j), (-5.182523766838123e-05-1.697360219484749e-16j), (4.736056466372714e-06-8.371884362476942e-18j), (-8.069555384837695e-06+3.603827414358889e-17j), (4.487779626155548e-06-1.150766424773748e-17j), (-9.84309014826634e-06+2.566073384404517e-17j), (3.04385788977664e-06-6.2569527524130156e-18j), (-1.8989411959000106e-05+1.1143309420138331e-17j), (-3.0905004950377655e-07+3.3366780824521024e-17j), (-3.421589747615812e-05-1.848158459575089e-16j)]"
C6,"[(0.25806138175472787-4.634321751898977e-15j), (0.24666773592160518-4.75098788935872e-16j), (0.24881895011446833+7.93056444932391e-16j), (0.25161831662882994-1.2607922563358369e-15j), (0.24904856855057406-3.944770478471824e-16j), (0.25025796775393766-3.5754706554668026e-16j), (0.2496333857998468+3.797680878587261e-16j), (0.2505519307998616-5.070366631985449e-16j), (0.24961466298722992-3.1950361737160944e-16j), (0.2498902875000474+2.0281629739545208e-16j), (0.25007686335647433-1.4315147768294594e-16j), (0.24985266917996118+1.8403203440940881e-16j), (0.250222298713151-2.2188457892197358e-16j), (0.24981643367361087-2.5681012743517013e-16j), (0.250022256689892-5.812026565713294e-17j), (0.2499574484567947+1.0493896233965417e-16j), (0.2500282272138249-5.702386928846983e-17j), (0.24993248997207348+8.405751381115803e-17j), (0.25009047448471244-8.650722691256763e-17j), (0.24990476872464112-1.9981177700263214e-16j), (0.249983555215835+5.4197551579726314e-17j), (0.25000893109396743-2.2076712229894698e-17j), (0.2499810184095874+5.3952731171224345e-17j), (0.25001073964090736-1.9785607412619907e-17j), (0.24996650757334046+3.138361869164638e-17j), (0.25002989224926503-1.947150548363043e-17j), (0.2499481747623316-1.697360219484749e-16j), (0.2500047360564664-8.371884362476942e-18j), (0.24999193044461515+3.603827414358889e-17j), (0.25000448777962614-1.150766424773748e-17j), (0.24999015690985174+2.566073384404517e-17j), (0.2500030438578898-6.2569527524130156e-18j), (0.249981010588041+1.1143309420138331e-17j), (0.2499996909499505+3.3366780824521024e-17j), (0.24996578410252385-1.848158459575089e-16j)]"
C7_b,0.25
C7_v,(-0.03994261208107426+1.265435204293729e-15j)
C7,(0.21005738791892575+1.265435204293729e-15j)
C8A_b,"[(-0.09780198664652667-8.651418550041108e-17j), (-0.0001580883545910452-3.440124176268285e-17j), (0.0003203694715911012+2.5832114317409623e-17j), (0.03081352001980073+1.0486199782280495e-16j), (-0.0001036802357007387-6.468432196520204e-17j), (-0.00963755257086925-9.693005513628417e-17j), (-5.696343435805893e-05+9.927057617861147e-17j), (-0.01727454243913154-8.97254842681513e-17j), (7.640564183245983e-05-6.034928924784641e-17j), (-0.00021024154497515166-5.1867811736483684e-17j), (0.00549658672867175+2.526309418920625e-17j), (8.417024183861392e-05+2.6981425372947822e-17j), (0.011209016746449153+1.0562118224549322e-16j), (-1.0733826869801437e-05+4.0244374898741324e-17j), (-0.0032687340318928583+6.539066627443076e-17j), (0.0001849349330941484-5.0200839173174064e-17j), (-0.003692796155009361-5.360325334014307e-18j), (-0.00015066600290105563+8.680992382521401e-18j), (-0.007575195132019848-6.62141884365766e-17j), (7.905503668733727e-05+4.0438139734995386e-17j), (-0.00016078988781256272+6.583613015207184e-18j), (0.00235226611692312-8.71778478124559e-18j), (-0.00011874884804667483+3.042463791175642e-17j), (0.0026618111007769814+2.2425971982593737e-18j), (8.275587453497637e-05-2.1659375949083503e-17j), (0.005013770793192521+1.2484958967046662e-16j), (-0.00010904305194477164+1.2498137113165633e-16j), (-0.001875534644127939-4.304431422467575e-17j), (9.479833722327854e-05+4.509291378006986e-17j), (-0.0018973635197173464+2.0689335884574785e-17j), (0.00018592460103917025+6.38221751469006e-17j), (-0.002016967786222093+2.6373647213872446e-17j), (-5.3827889647825445e-05-6.00490916213407e-17j), (-0.0030317655665459426-6.359203801373978e-17j), (-0.00015219792993002108+1.3383119142992563e-18j)]"
