Key,Values
C5_b,0.25
C5_v,"[(-0.037377034918946006+3.872062285042699e-14j), (0.0018838049249875481+1.516868230121913e-14j), (0.001001572698279364+2.7714917586989767e-15j), (-0.0046079714296406084+7.883394877729983e-15j), (0.0009135870275089895+6.146638836025426e-15j), (-0.0006663203336146311+1.894782444942159e-15j), (0.00048544003581084925+1.1329038899122536e-15j), (-0.001537250220637774+3.1090703705879844e-15j), (0.0005064666871385108+3.1694171426543575e-15j), (0.00023708376521227497+4.469838978899055e-16j), (-0.00025893490913344073+7.511404162735853e-16j), (0.00026980455871857754+5.997204270475397e-16j), (-0.0006756277020862411+1.4875924131935073e-15j), (0.000307195549603159+1.8826683350508916e-15j), (-0.00011794467183630376+3.218254539356379e-16j), (0.0001354821966374005+2.2882637832231124e-16j), (-0.00013541174478923278+3.314433215713421e-16j), (0.00016665066632344996+3.961350982898933e-16j), (-0.0003322373362736761+7.596071419914157e-16j), (0.00020246838776575936+1.1940531106661398e-15j), (8.25884850994421e-05+1.5676661913927386e-16j), (-7.459710799232413e-05+1.1540184874680314e-16j), (8.905099652655646e-05+1.5231003788073301e-16j), (-8.662313444451263e-05+1.6032167400697914e-16j), (0.00011569034393326579+3.124883537648766e-16j), (-0.00017686595035531022+4.267926745618325e-16j), (0.00015047141291465307+8.335771702258255e-16j), (-5.6347864484475136e-05+4.0720971837375085e-17j), (6.107737599363644e-05+7.70689565953815e-17j), (-5.839128224608044e-05+8.405767347839131e-17j), (6.945964708858733e-05+1.416876889987904e-16j), (-6.857587624704403e-05+1.2379394643757176e-16j), (9.61338187556174e-05+2.807813222023227e-16j), (-0.00011240891908269226+2.5369247806853613e-16j), (0.00014255448617295444+6.820931995701341e-16j)]"
C5,"[(0.212622965081054+3.872062285042699e-14j), (0.2518838049249876+1.516868230121913e-14j), (0.2510015726982794+2.7714917586989767e-15j), (0.24539202857035938+7.883394877729983e-15j), (0.250913587027509+6.146638836025426e-15j), (0.24933367966638537+1.894782444942159e-15j), (0.25048544003581086+1.1329038899122536e-15j), (0.24846274977936222+3.1090703705879844e-15j), (0.2505064666871385+3.1694171426543575e-15j), (0.25023708376521225+4.469838978899055e-16j), (0.24974106509086655+7.511404162735853e-16j), (0.25026980455871856+5.997204270475397e-16j), (0.24932437229791377+1.4875924131935073e-15j), (0.2503071955496032+1.8826683350508916e-15j), (0.24988205532816368+3.218254539356379e-16j), (0.2501354821966374+2.2882637832231124e-16j), (0.24986458825521077+3.314433215713421e-16j), (0.25016665066632343+3.961350982898933e-16j), (0.2496677626637263+7.596071419914157e-16j), (0.2502024683877658+1.1940531106661398e-15j), (0.25008258848509946+1.5676661913927386e-16j), (0.24992540289200768+1.1540184874680314e-16j), (0.25008905099652656+1.5231003788073301e-16j), (0.24991337686555548+1.6032167400697914e-16j), (0.2501156903439333+3.124883537648766e-16j), (0.24982313404964468+4.267926745618325e-16j), (0.25015047141291463+8.335771702258255e-16j), (0.24994365213551553+4.0720971837375085e-17j), (0.25006107737599365+7.70689565953815e-17j), (0.24994160871775392+8.405767347839131e-17j), (0.2500694596470886+1.416876889987904e-16j), (0.24993142412375297+1.2379394643757176e-16j), (0.2500961338187556+2.807813222023227e-16j), (0.24988759108091732+2.5369247806853613e-16j), (0.25014255448617295+6.820931995701341e-16j)]"
C6_b,0.25
C6_v,"[(0.010187224824380826-5.207143235806571e-15j), (-0.004410073615838096-1.0118609772858054e-15j), (-0.0017872022014837788+6.986878448345239e-16j), (0.0023970456944730945-1.3760824226826067e-15j), (-0.00154664803900708-7.769429035661308e-16j), (0.0005669806195538433-2.390527871543944e-16j), (-0.0006914298493735697+3.7186180800954637e-16j), (0.0009746824678423255-4.983076310842162e-16j), (-0.0007511330065521803-5.300187377294338e-16j), (-0.0002890524425945239+2.2450067107036974e-16j), (0.00024242959766776584-1.5387850328514302e-17j), (-0.0003467777252955688+1.8529436990093196e-16j), (0.00047454124309002064-1.8009355537917337e-16j), (-0.00042388702539636347-3.6748159074922046e-16j), (0.00011518224075747744+5.0472405313281066e-17j), (-0.0001543816690438+1.210115095770171e-16j), (0.00013145398470310992+4.8464319548849427e-17j), (-0.0002017591467383043+8.151834823540179e-17j), (0.0002515795476369046-3.702456161929357e-17j), (-0.00026561638747471246-2.5331745000693676e-16j), (-8.978382317856153e-05+6.04349257563292e-17j), (7.297326719380207e-05+6.214413626499955e-17j), (-9.75435281056219e-05+6.25899322158907e-17j), (8.491782226683142e-05+6.619223169706369e-17j), (-0.00013450671253899268+2.428004950485485e-17j), (0.0001446680080320324+2.948169541102767e-17j), (-0.00018758068151991964-1.843914695051267e-16j), (5.4562384765091604e-05+6.092095708943329e-17j), (-6.486871880305803e-05+4.317628411494975e-17j), (5.6766742941929614e-05+5.639120550514556e-17j), (-7.427719632664049e-05+3.27180437348715e-17j), (6.687422550148695e-05+6.714365287935315e-17j), (-0.0001090681207329064+1.0545470792923264e-18j), (0.00010016709750967304+8.672574972801154e-17j), (-0.00016860810949303716-1.9615443406134425e-16j)]"
C6,"[(0.26018722482438084-5.207143235806571e-15j), (0.2455899263841619-1.0118609772858054e-15j), (0.2482127977985162+6.986878448345239e-16j), (0.2523970456944731-1.3760824226826067e-15j), (0.2484533519609929-7.769429035661308e-16j), (0.25056698061955385-2.390527871543944e-16j), (0.24930857015062644+3.7186180800954637e-16j), (0.2509746824678423-4.983076310842162e-16j), (0.2492488669934478-5.300187377294338e-16j), (0.24971094755740547+2.2450067107036974e-16j), (0.2502424295976678-1.5387850328514302e-17j), (0.24965322227470443+1.8529436990093196e-16j), (0.25047454124309004-1.8009355537917337e-16j), (0.24957611297460364-3.6748159074922046e-16j), (0.25011518224075746+5.0472405313281066e-17j), (0.2498456183309562+1.210115095770171e-16j), (0.2501314539847031+4.8464319548849427e-17j), (0.2497982408532617+8.151834823540179e-17j), (0.2502515795476369-3.702456161929357e-17j), (0.24973438361252528-2.5331745000693676e-16j), (0.24991021617682144+6.04349257563292e-17j), (0.2500729732671938+6.214413626499955e-17j), (0.24990245647189438+6.25899322158907e-17j), (0.25008491782226683+6.619223169706369e-17j), (0.249865493287461+2.428004950485485e-17j), (0.25014466800803203+2.948169541102767e-17j), (0.24981241931848008-1.843914695051267e-16j), (0.2500545623847651+6.092095708943329e-17j), (0.24993513128119693+4.317628411494975e-17j), (0.2500567667429419+5.639120550514556e-17j), (0.24992572280367337+3.27180437348715e-17j), (0.2500668742255015+6.714365287935315e-17j), (0.2498909318792671+1.0545470792923264e-18j), (0.25010016709750965+8.672574972801154e-17j), (0.24983139189050696-1.9615443406134425e-16j)]"
C7_b,0.25
C7_v,(-0.04554843016978988+4.426980641133194e-16j)
C7,(0.20445156983021012+4.426980641133194e-16j)
C8A_b,"[(-0.09732744694764592+3.2792329746739907e-19j), (-1.4206448876103468e-06-3.2506246173061917e-17j), (1.1324177443423817e-06+5.027612102640783e-18j), (0.02989506553919528+4.049919594601875e-18j), (1.431733404284508e-06-2.8759237555412585e-17j), (-0.007813831421521497-7.833881438943114e-17j), (-6.628278402121731e-07+5.432959331343346e-17j), (-0.0161881161507247-1.2579553483927337e-17j), (-1.2881325728683244e-06-1.8046963460998234e-17j), (2.126401829428093e-07+6.25557302502793e-18j), (0.003342245772993538+9.980296020318291e-18j), (3.2943538575177573e-07+2.1330721893477e-18j), (0.010113433284112351+2.5279741692209454e-17j), (1.1108128082423398e-06+3.4697459736193885e-17j), (-0.0007649336825857969+6.104648164957158e-17j), (2.708390703988444e-08-3.5280234149803826e-17j), (-0.0015243563754988297+6.708346238432429e-18j), (-8.035770027785781e-08+1.0630826831161202e-17j), (-0.0065613909309555855+1.2566965277765688e-17j), (-9.232803869619278e-07+1.8355902977453486e-17j), (-1.599242328208433e-07-1.1784438952186433e-17j), (-0.00015244711781556904-5.726187560161315e-18j), (-1.7887289701783474e-07+3.8025169987193145e-17j), (0.0006272952030032904-6.895484937415544e-18j), (-1.2511490376741083e-07-2.5437525768745264e-18j), (0.0041457852737753625+4.6307126293216026e-17j), (7.460384661627512e-07+7.500774470492861e-17j), (0.0006522115984716427-4.6306589173132206e-17j), (2.2661636639812947e-07+4.279500905082856e-17j), (0.0004916416150740365+1.6619207405273986e-17j), (2.990917345993528e-07+2.8741215516382706e-17j), (-0.00021126518651075425+3.7826939698611493e-17j), (2.943157334592406e-07-1.1368012064276823e-17j), (-0.002390868891123799+1.4049280663778462e-17j), (-7.554823690820941e-07-1.536725461733668e-17j)]"
