C,full,bubble,vertex,vertex_T
C1,0.913467951249479,0.9767707338476943,-0.06330278259821534,1.4254776336593402e-05
C4,0.22886499146486555,0.25000000000000044,-0.021135008535134878,0.0005496320906222408
C5,0.207632923960131,0.25,-0.042367076039869014,0.0
C6,0.264404960389719,0.25,0.014404960389719024,0.0
C7,0.18431998649626025,0.25,-0.06568001350373975,0.0
C8A,-0.0908696541768446,-0.09086965417684577,1.1697714875276821e-15,0.0
C8B,-0.09086965417684605,-0.09086965417684577,-2.7926511497121396e-16,0.0
C9,-0.18173930835369154,-0.18173930835369154,0.0,0.0
C10,0.027950937183974435,0.0,0.027950937183974435,0.0
C11,-0.05677203642958803,0.0,-0.05677203642958803,0.0
C12,0.21090568002318436,0.24999999999999994,-0.039094319976815596,0.0
C13,0.5,0.5,0.0,0.0
Ct1,0.8597863348264543,0.8702900303039756,-0.010503695477521256,-7.34956595833456e-06
Ct2,0.8593928840073803,0.8702900303039767,-0.01089714629659628,-7.2625734467054405e-06
Ctt,0.7860582335326716,0.7794100378223812,0.006648195710290355,9.150200330671321e-06
Cμ1,-0.5027999981043779,-0.5172049584941015,0.014404960389723604,0.014404960389723713
Cμ2,-0.3208985759991841,-0.335303536388908,0.014404960389723864,0.01440496038972399
Cμt1,-0.272852133157829,-0.2728521331578291,5.65959799392449e-17,6.634074653710745e-17
Cμt2,-0.45475355526302264,-0.45475355526302264,2.713325240549395e-17,6.970760292431073e-17
